customer_id,active,created_at,createdat_id,last_modified_date,last_modified_date_id,country,customer_type,document_number,document_type,customer_role
MFS00000115,t,2025-04-16 14:50:48.456,20250416,2025-04-16 14:50:48.456,20250416,Kenya,INDIVIDUAL,359c86af-6569-416c-bcb6-1be9aa5347f7,NATIONAL_ID,Borrower
MFS00000116,t,2025-04-21 19:44:41.635,20250421,2025-04-21 19:44:41.635,20250421,Kenya,INDIVIDUAL,51d3b604-4571-4d2b-b52e-7da7fbde6a8d,NATIONAL_ID,Borrower
MFS00000117,t,2025-04-22 13:05:16.908,20250422,2025-04-22 13:05:16.908,20250422,Kenya,INDIVIDUAL,f9f452e6-b4bc-4df5-9c3f-580cbcca0d1e,NATIONAL_ID,Borrower
MFS00000118,t,2025-04-22 15:54:48.228,20250422,2025-04-22 15:54:48.228,20250422,Kenya,INDIVIDUAL,477e8675-f539-4578-88a6-b0ffb7471c56,NATIONAL_ID,Borrower
MFS00000119,t,2025-04-23 10:37:13.005,20250423,2025-04-23 10:37:13.005,20250423,Kenya,INDIVIDUAL,1a88b77b-b7a7-4513-9844-38bb1bb42c6f,NATIONAL_ID,Borrower
MFS00000120,t,2025-04-23 11:00:42.924,20250423,2025-04-23 11:00:42.924,20250423,Kenya,INDIVIDUAL,c2f82c13-d044-4779-96b4-2f78a3985336,NATIONAL_ID,Borrower
MFS00000121,t,2025-04-23 12:22:42.951,20250423,2025-04-23 12:22:42.951,20250423,Kenya,INDIVIDUAL,1cc4b833-be25-4d9f-bca1-c91c8c3cc1e0,NATIONAL_ID,Borrower
MFS00000122,t,2025-04-23 12:39:22.461,20250423,2025-04-23 12:39:22.461,20250423,Kenya,INDIVIDUAL,ab7e9893-fb1e-4873-9ecb-56a083d1ab84,NATIONAL_ID,Borrower
MFS00000123,t,2025-04-23 12:43:52.399,20250423,2025-04-23 12:43:52.399,20250423,Kenya,INDIVIDUAL,2fb05cda-3875-41ff-82ff-2fd67b54cbf4,NATIONAL_ID,Borrower
MFS00000124,t,2025-04-23 12:46:22.467,20250423,2025-04-23 12:46:22.467,20250423,Kenya,INDIVIDUAL,ae3ade21-c9a5-4753-8ef3-51cb42138a42,NATIONAL_ID,Borrower
MFS00000125,t,2025-04-23 12:56:52.33,20250423,2025-04-23 12:56:52.33,20250423,Kenya,INDIVIDUAL,d20b4ff5-07ca-4cf3-8e69-0c7d900cd447,NATIONAL_ID,Borrower
MFS00000126,t,2025-04-24 08:01:22.387,20250424,2025-04-24 08:01:22.387,20250424,Kenya,INDIVIDUAL,ac2eac3a-4a61-4c75-a1d0-1f725445d636,NATIONAL_ID,Borrower
MFS00000127,t,2025-04-24 19:10:08.877,20250424,2025-04-24 19:10:08.877,20250424,Kenya,INDIVIDUAL,48b94535-84bc-466b-82b3-238e412d5db8,NATIONAL_ID,Borrower
MFS00000128,t,2025-04-25 07:40:08.907,20250425,2025-04-25 07:40:08.907,20250425,Kenya,INDIVIDUAL,b86f8bf8-eb52-4f59-9fcd-89e5ba46244f,NATIONAL_ID,Borrower
MFS00000129,t,2025-04-27 19:23:20.328,20250427,2025-04-27 19:23:20.328,20250427,Kenya,INDIVIDUAL,ee3f554d-5240-4aa0-970e-54a9d6ebee9b,NATIONAL_ID,Borrower
MFS00000130,t,2025-04-30 21:59:27.954,20250430,2025-04-30 21:59:27.954,20250430,Kenya,INDIVIDUAL,d501e64a-772a-47c5-b524-0d3591abbe60,NATIONAL_ID,Borrower
MFS00000131,t,2025-05-02 06:43:57.539,20250502,2025-05-02 06:43:57.539,20250502,Kenya,INDIVIDUAL,05c7fcc7-0cd8-44d9-82e3-63f8799b6450,NATIONAL_ID,Borrower
MFS00000132,t,2025-05-06 17:13:59.644,20250506,2025-05-06 17:13:59.644,20250506,Kenya,INDIVIDUAL,debfef2b-b963-4e2a-ae09-eef58bd14d3d,NATIONAL_ID,Borrower
MFS00000133,t,2025-05-08 08:48:29.195,20250508,2025-05-08 08:48:29.195,20250508,Kenya,INDIVIDUAL,fb24b760-e6a9-4193-9a21-b639c1205573,NATIONAL_ID,Borrower
MFS00000134,t,2025-05-09 07:47:59.159,20250509,2025-05-09 07:47:59.159,20250509,Kenya,INDIVIDUAL,679c3a5d-62b0-488b-9b26-73bd449888b1,NATIONAL_ID,Borrower
MFS00000135,t,2025-05-09 07:48:00.844,20250509,2025-05-09 07:48:00.844,20250509,Kenya,INDIVIDUAL,7db36205-fdd6-491b-8609-34038d561cf6,NATIONAL_ID,Borrower
MFS00000136,t,2025-05-09 19:37:58.922,20250509,2025-05-09 19:37:58.922,20250509,Kenya,INDIVIDUAL,4da8ae87-f7d6-46eb-a6c4-796672f70c35,NATIONAL_ID,Borrower
MFS00000137,t,2025-05-13 12:46:51.058,20250513,2025-05-13 12:46:51.058,20250513,Kenya,INDIVIDUAL,e258803e-9ba5-47f4-9340-890323180102,NATIONAL_ID,Borrower
MFS00000138,t,2025-05-16 07:15:50.128,20250516,2025-05-16 07:15:50.128,20250516,Kenya,INDIVIDUAL,779c88eb-cd5c-4a4a-a133-de321b94dffa,NATIONAL_ID,Borrower
MFS00000139,t,2025-05-16 08:38:19.036,20250516,2025-05-16 08:38:19.036,20250516,Kenya,INDIVIDUAL,88a9e3ca-410b-4f23-bc93-75f3db8a2b5b,NATIONAL_ID,Borrower
MFS00000140,t,2025-05-16 14:02:49.07,20250516,2025-05-16 14:02:49.07,20250516,Kenya,INDIVIDUAL,52f25ae4-a371-41ce-a48a-065307c619ad,NATIONAL_ID,Borrower
MFS00000141,t,2025-05-19 06:17:49.156,20250519,2025-05-19 06:17:49.156,20250519,Kenya,INDIVIDUAL,efb8d894-4388-4f80-ba4f-361debcc569f,NATIONAL_ID,Borrower
MFS00000142,t,2025-05-19 06:27:19.161,20250519,2025-05-19 06:27:19.161,20250519,Kenya,INDIVIDUAL,9921260e-29a7-4b33-b075-e13c34561d76,NATIONAL_ID,Borrower
MFS00000143,t,2025-05-19 06:34:49.108,20250519,2025-05-19 06:34:49.108,20250519,Kenya,INDIVIDUAL,2dac594d-c7f8-47ee-abc5-c41a6948628c,NATIONAL_ID,Borrower
MFS00000144,t,2025-05-19 06:35:19.083,20250519,2025-05-19 06:35:19.083,20250519,Kenya,INDIVIDUAL,cfe5229c-ce31-4978-90be-3f0b5a0e1201,NATIONAL_ID,Borrower
